,DTsig,D_pr_lm,DTsig.1,D_pr_lm.1,DTsig.2,D_pr_lm.2,DTsig.3,D_pr_lm.3,DTsig.4,D_pr_lm.4,DTsig.5,D_pr_lm.5,DTsig.6,D_pr_lm.6,DTsig.7,D_pr_lm.7,DTsig.8,D_pr_lm.8,DTsig.9,D_pr_lm.9,DTsig.10,D_pr_lm.10,DTsig.11,D_pr_lm.11,DTsig.12,D_pr_lm.12,DTsig.13,D_pr_lm.13,DTsig.14,D_pr_lm.14,DTsig.15,D_pr_lm.15,DTsig.16,D_pr_lm.16,DTsig.17,D_pr_lm.17,DTsig.18,D_pr_lm.18,DTsig.19,D_pr_lm.19,DTsig.20,D_pr_lm.20,DTsig.21,D_pr_lm.21,DTsig.22,D_pr_lm.22,DTsig.23,D_pr_lm.23,DTsig.24,D_pr_lm.24,DTsig.25,D_pr_lm.25,DTsig.26,D_pr_lm.26,DTsig.27,D_pr_lm.27,DTsig.28,D_pr_lm.28,DTsig.29,D_pr_lm.29,DTsig.30,D_pr_lm.30,DTsig.31,D_pr_lm.31,DTsig.32,D_pr_lm.32,DTsig.33,D_pr_lm.33,DTsig.34,D_pr_lm.34,DTsig.35,D_pr_lm.35,DTsig.36,D_pr_lm.36,DTsig.37,D_pr_lm.37,DTsig.38,D_pr_lm.38,DTsig.39,D_pr_lm.39,DTsig.40,D_pr_lm.40,DTsig.41,D_pr_lm.41,DTsig.42,D_pr_lm.42,DTsig.43,D_pr_lm.43,DTsig.44,D_pr_lm.44,DTsig.45,D_pr_lm.45,DTsig.46,D_pr_lm.46,DTsig.47,D_pr_lm.47,DTsig.48,D_pr_lm.48,DTsig.49,D_pr_lm.49,DTsig.50,D_pr_lm.50,DTsig.51,D_pr_lm.51,DTsig.52,D_pr_lm.52,DTsig.53,D_pr_lm.53,DTsig.54,D_pr_lm.54,DTsig.55,D_pr_lm.55,DTsig.56,D_pr_lm.56,DTsig.57,D_pr_lm.57,DTsig.58,D_pr_lm.58,DTsig.59,D_pr_lm.59,DTsig.60,D_pr_lm.60,DTsig.61,D_pr_lm.61,DTsig.62,D_pr_lm.62,DTsig.63,D_pr_lm.63,DTsig.64,D_pr_lm.64,DTsig.65,D_pr_lm.65,DTsig.66,D_pr_lm.66,DTsig.67,D_pr_lm.67,DTsig.68,D_pr_lm.68,DTsig.69,D_pr_lm.69,DTsig.70,D_pr_lm.70,DTsig.71,D_pr_lm.71,DTsig.72,D_pr_lm.72,DTsig.73,D_pr_lm.73,DTsig.74,D_pr_lm.74,DTsig.75,D_pr_lm.75,DTsig.76,D_pr_lm.76,DTsig.77,D_pr_lm.77,DTsig.78,D_pr_lm.78
DTsig,0.0002656,0.00072283,0.00083324,0.002204216,0.001976902,0.005017071,0.003339277,0.009512654,0.004610891,0.015437325,0.007517113,0.022479592,0.008873651,0.027579619,0.01187642,0.037397965,0.013854114,0.0439993,0.016882505,0.052233499,0.020052339,0.059339196,0.021924672,0.068357456,0.027183207,0.079645634,0.03095995,0.08947637,0.033151247,0.101557805,0.038935309,0.117736079,0.043378486,0.12705308,0.044856627,0.130062505,0.050804115,0.141983275,0.054507331,0.148394499,0.059897296,0.161145867,0.063652372,0.174612395,0.066991926,0.183769747,0.071904012,0.199617976,0.075489734,0.213671863,0.08326218,0.233476937,0.088577177,0.240219433,0.094581495,0.255356057,0.097382814,0.249951285,0.104157759,0.265736345,0.107199124,0.273088422,0.111574779,0.28694316,0.113507984,0.298231132,0.120352451,0.311741169,0.124261059,0.315542605,0.12815249,0.320839479,0.133317467,0.347257411,0.139966145,0.339663187,0.148783256,0.36025343,0.155045841,0.376831162,0.164955004,0.373340052,0.180640561,0.387010776,0.185829971,0.397575063,0.197992152,0.409502913,0.210248992,0.41720299,0.217615134,0.412549398,0.227491656,0.405011317,0.238585875,0.399933412,0.251385492,0.405444096,0.262484432,0.398678904,0.272476153,0.37302233,0.291936508,0.370089801,0.307520038,0.36821214,0.325242756,0.368542712,0.346963376,0.355706814,0.361250634,0.347077262,0.375306371,0.331142971,0.397638487,0.323732697,0.419253893,0.32181931,0.438412712,0.293808046,0.467308148,0.28166937,0.498131838,0.251583842,0.522554929,0.23440201,0.547285497,0.201302245,0.583361861,0.193739925,0.618642577,0.204428706,0.654816884,0.136772729,0.689289773,0.127638007,0.726719495,0.097302096,0.759552766,0.060590786,0.795279966,0.046959065,0.831205708,0.013640626,0.885130052,-0.026838045,0.923690672,-0.057784849,0.964551405,-0.099180284,1.023081266,-0.143875777,1.073890734,-0.176500772,1.135110422,-0.194048202,1.180252546,-0.195240806
D_pr_lm,0.00072283,0.223755895,0.002204216,0.448222031,0.005017071,0.673398409,0.009512654,0.899285029,0.015437325,1.12588189,0.022479592,1.353188992,0.027579619,1.581206337,0.037397965,1.809933922,0.0439993,2.03937175,0.052233499,2.269519819,0.059339196,2.50037813,0.068357456,2.731946682,0.079645634,2.964225475,0.08947637,3.197214511,0.101557805,3.430913788,0.117736079,3.665323306,0.12705308,3.900443066,0.130062505,4.136273068,0.141983275,4.372813311,0.148394499,4.610063796,0.161145867,4.848024522,0.174612395,5.08669549,0.183769747,5.3260767,0.199617976,5.566168151,0.213671863,5.806969844,0.233476937,6.048481778,0.240219433,6.290703954,0.255356057,6.533636372,0.249951285,6.777279031,0.265736345,7.021631931,0.273088422,7.266695073,0.28694316,7.512468457,0.298231132,7.758952083,0.311741169,8.00614595,0.315542605,8.254050058,0.320839479,8.502664408,0.347257411,8.751989,0.339663187,9.002023833,0.36025343,9.252768908,0.376831162,9.504224225,0.373340052,9.756389783,0.387010776,10.00926558,0.397575063,10.26285162,0.409502913,10.51714791,0.41720299,10.77215443,0.412549398,11.0278712,0.405011317,11.2842982,0.399933412,11.54143545,0.405444096,11.79928294,0.398678904,12.05784068,0.37302233,12.31710865,0.370089801,12.57708687,0.36821214,12.83777532,0.368542712,13.09917402,0.355706814,13.36128296,0.347077262,13.62410214,0.331142971,13.88763157,0.323732697,14.15187123,0.32181931,14.41682114,0.293808046,14.68248129,0.28166937,14.94885168,0.251583842,15.21593231,0.23440201,15.48372318,0.201302245,15.75222429,0.193739925,16.02143565,0.204428706,16.29135725,0.136772729,16.56198909,0.127638007,16.83333117,0.097302096,17.10538349,0.060590786,17.37814605,0.046959065,17.65161886,0.013640626,17.92580191,-0.026838045,18.20069519,-0.057784849,18.47629873,-0.099180284,18.7526125,-0.143875777,19.02963651,-0.176500772,19.30737077,-0.194048202,19.58581526,-0.195240806,19.86497
