n,Metric,PH,LOC,dp,dt
1,I_8RI_AJ,2040,50.0,1.2534245676782483,1.4097657026557284
1,I_8RI_AJ,2040,75.0,0.17014147788496548,1.549871148979233
1,I_8RI_AJ,2040,95.0,-2.0960735086150004,1.6581006273294185
2,I_8RI_AJ,2040,50.0,1.3207713958454275,1.4163880748616082
2,I_8RI_AJ,2040,75.0,-0.025598355264721873,1.5206021220949593
2,I_8RI_AJ,2040,95.0,-1.6340644953559538,1.71995458942768
3,I_8RI_AJ,2040,50.0,1.2747704958008905,1.4067737861005718
3,I_8RI_AJ,2040,75.0,0.21512364750089819,1.5578710428223868
3,I_8RI_AJ,2040,95.0,-1.1324485901181893,1.7907562233287062
4,I_8RI_AJ,2040,50.0,1.2941064114880865,1.4155687940655541
4,I_8RI_AJ,2040,75.0,-0.03699315481190801,1.5225520607036311
4,I_8RI_AJ,2040,95.0,-1.6892882469342372,1.7118199870383028
5,I_8RI_AJ,2040,50.0,1.458492236358122,1.4367887601955431
5,I_8RI_AJ,2040,75.0,0.22452311859674245,1.5628907693000995
5,I_8RI_AJ,2040,95.0,-1.7315295500543215,1.7059520241112947
6,I_8RI_AJ,2040,50.0,1.2888166475187064,1.4159921131774151
6,I_8RI_AJ,2040,75.0,-0.12871792155491235,1.5098368261239694
6,I_8RI_AJ,2040,95.0,-2.128270047623447,1.6541863165442934
7,I_8RI_AJ,2040,50.0,1.3241030625149488,1.4152339197507273
7,I_8RI_AJ,2040,75.0,-0.03302816320193824,1.5215288756463283
7,I_8RI_AJ,2040,95.0,-1.6865818593609079,1.712894737343491
8,I_8RI_AJ,2040,50.0,1.387527753110507,1.4256425574137868
8,I_8RI_AJ,2040,75.0,0.08839450147223693,1.538306270435774
8,I_8RI_AJ,2040,95.0,-1.83519909493295,1.6927980434829726
9,I_8RI_AJ,2040,50.0,1.3773961147861418,1.4321328135125762
9,I_8RI_AJ,2040,75.0,0.06927533951484954,1.5391782587693437
9,I_8RI_AJ,2040,95.0,-1.486707696236435,1.7422326192805189
10,I_8RI_AJ,2040,50.0,1.2548535882246135,1.4101388450179875
10,I_8RI_AJ,2040,75.0,-0.03519671821797221,1.5233746081400752
10,I_8RI_AJ,2040,95.0,-1.9315659795387174,1.6775343938543168
11,I_8RI_AJ,2040,50.0,1.438757551274197,1.4356258766650505
11,I_8RI_AJ,2040,75.0,0.22324850811054464,1.5562105550710994
11,I_8RI_AJ,2040,95.0,-1.6980935197006988,1.7139996411974332
12,I_8RI_AJ,2040,50.0,1.3256075449986429,1.416696278471283
12,I_8RI_AJ,2040,75.0,0.008833825369448434,1.5284826449390048
12,I_8RI_AJ,2040,95.0,-1.8917849475940092,1.6770528862539535
13,I_8RI_AJ,2040,50.0,1.2245981189833426,1.4043423570967262
13,I_8RI_AJ,2040,75.0,0.06014430305074314,1.539735878559785
13,I_8RI_AJ,2040,95.0,-1.4568311002380254,1.750153660740532
14,I_8RI_AJ,2040,50.0,1.302535824679937,1.4214818122861237
14,I_8RI_AJ,2040,75.0,0.0612629931803379,1.538354275431833
14,I_8RI_AJ,2040,95.0,-1.6346434113373347,1.7240373947065193
15,I_8RI_AJ,2040,50.0,1.3819470276277102,1.430469707320281
15,I_8RI_AJ,2040,75.0,0.10711731767857469,1.5464255245313432
15,I_8RI_AJ,2040,95.0,-1.4905513756474693,1.7435693539095232
16,I_8RI_AJ,2040,50.0,1.2663183390133959,1.4101402767797464
16,I_8RI_AJ,2040,75.0,0.16957866272828936,1.5528118582722066
16,I_8RI_AJ,2040,95.0,-1.785948553898068,1.7004639255713951
17,I_8RI_AJ,2040,50.0,1.4993271054995714,1.4426608802467904
17,I_8RI_AJ,2040,75.0,0.21777585819678347,1.555762876406008
17,I_8RI_AJ,2040,95.0,-1.6389414856609965,1.7184185857561447
18,I_8RI_AJ,2040,50.0,1.434130695996666,1.4374430552908477
18,I_8RI_AJ,2040,75.0,0.20558403438506656,1.5576341568724048
18,I_8RI_AJ,2040,95.0,-1.678168725301722,1.715063493049618
19,I_8RI_AJ,2040,50.0,1.4803513092747689,1.4431695589631355
19,I_8RI_AJ,2040,75.0,0.12287047371854443,1.5449453894549998
19,I_8RI_AJ,2040,95.0,-1.7791035645137303,1.7014699718148916
20,I_8RI_AJ,2040,50.0,1.426510891525606,1.4408093505004818
20,I_8RI_AJ,2040,75.0,0.27086607183115263,1.5631858384474668
20,I_8RI_AJ,2040,95.0,-1.3889978335652453,1.7544527289649554
21,I_8RI_AJ,2040,50.0,1.3002770059624413,1.4166792205387997
21,I_8RI_AJ,2040,75.0,0.10412702902130078,1.5455410103001908
21,I_8RI_AJ,2040,95.0,-1.4908357821984024,1.7493949663891697
22,I_8RI_AJ,2040,50.0,1.324244520015116,1.423286055544023
22,I_8RI_AJ,2040,75.0,0.06517169083312169,1.5383678810583818
22,I_8RI_AJ,2040,95.0,-1.7267374077353466,1.7148125645165049
23,I_8RI_AJ,2040,50.0,1.256504465792878,1.4094007903481842
23,I_8RI_AJ,2040,75.0,0.21270252546827995,1.555600695202882
23,I_8RI_AJ,2040,95.0,-1.779269570268758,1.6958602621035528
24,I_8RI_AJ,2040,50.0,1.3044956588034422,1.4153460320975821
24,I_8RI_AJ,2040,75.0,-0.02691957012598678,1.5199308027205043
24,I_8RI_AJ,2040,95.0,-1.6015578272439581,1.7323114268522406
25,I_8RI_AJ,2040,50.0,1.2296282165050212,1.406777191494244
25,I_8RI_AJ,2040,75.0,-0.07943562185395225,1.5141495034200412
25,I_8RI_AJ,2040,95.0,-1.8525484104542234,1.6960375191649202
26,I_8RI_AJ,2040,50.0,1.2907591321891858,1.4170978346352128
26,I_8RI_AJ,2040,75.0,0.0724662307423416,1.5321165273241957
26,I_8RI_AJ,2040,95.0,-1.8278245223537295,1.6894766501716576
27,I_8RI_AJ,2040,50.0,1.3343855722557278,1.42539581005042
27,I_8RI_AJ,2040,75.0,0.2706838554764024,1.5675763357136396
27,I_8RI_AJ,2040,95.0,-1.6791616859154994,1.718700924930659
28,I_8RI_AJ,2040,50.0,1.5143097356603623,1.4415742801733777
28,I_8RI_AJ,2040,75.0,0.06409338090969596,1.5376375364768144
28,I_8RI_AJ,2040,95.0,-1.5808711442755616,1.7297971639494012
29,I_8RI_AJ,2040,50.0,1.2168496927967936,1.4052832612922768
29,I_8RI_AJ,2040,75.0,0.1084130896155624,1.5446383206952183
29,I_8RI_AJ,2040,95.0,-1.6358919284580817,1.7181143807552528
30,I_8RI_AJ,2040,50.0,1.4359218905782662,1.4362016372717605
30,I_8RI_AJ,2040,75.0,0.10038095925522184,1.5438010654575105
30,I_8RI_AJ,2040,95.0,-1.7782561225421174,1.7089266268702432
31,I_8RI_AJ,2040,50.0,1.4365431872449554,1.4406247103492105
31,I_8RI_AJ,2040,75.0,0.006048732171668014,1.528845507376866
31,I_8RI_AJ,2040,95.0,-1.5857608026329901,1.7287477677237968
32,I_8RI_AJ,2040,50.0,1.3481217195186874,1.426088229944065
32,I_8RI_AJ,2040,75.0,0.1360226326494438,1.5539056423345308
32,I_8RI_AJ,2040,95.0,-1.4921505402805864,1.7431746755373145
33,I_8RI_AJ,2040,50.0,1.2729236323555548,1.4109597714956634
33,I_8RI_AJ,2040,75.0,-0.028006012496653465,1.5201598731688586
33,I_8RI_AJ,2040,95.0,-1.9459561296715522,1.6769933102509025
34,I_8RI_AJ,2040,50.0,1.4776073614399243,1.441558290914139
34,I_8RI_AJ,2040,75.0,0.11641987227628192,1.544710372094926
34,I_8RI_AJ,2040,95.0,-1.8085323079425286,1.7066634151738338
35,I_8RI_AJ,2040,50.0,1.2942638719682165,1.4163588912648428
